strategy,complexity,workload,seed,read_avg_ms,read_p95_ms,throughput_qps,load_cv,staleness_pct,router_overhead_ms,avg_cpu_pct,total_queries,total_reads,total_writes,errors,duration_s
load_based,complex,balanced,442,12744.325956979435,31387.868200079538,5.571438566916967,0.7932544073676995,0.0,0.006505461582678988,10.357758620689657,3424,2378,1046,0,614.5629999999655
load_based,complex,balanced,542,11258.107081965278,30127.753800014034,6.230422921956257,0.9516240577667184,0.0,0.006229470184648561,10.498575498575498,3821,2695,1126,0,613.280999999959
load_based,complex,read_heavy,142,4429.441549410267,10189.694000058807,11.82117497719176,1.5043061144514793,0.0,0.005186410050191218,10.647147147147146,7152,6798,354,0,605.015999999945
load_based,complex,read_heavy,242,4231.2001134671555,10092.19909994863,12.347599316925272,1.4818614099063427,0.0,0.005328518911248611,10.642642642642643,7462,7113,349,0,604.3280000000959
load_based,complex,read_heavy,342,4249.163386074906,9878.744799993001,12.299736646768881,1.5027664107202554,0.0,0.005673977980760718,10.666666666666666,7440,7088,352,0,604.890999999945
load_based,complex,read_heavy,442,4384.648121651236,10307.52150004264,11.996694214876033,1.4746705151856345,0.0,0.0065498625967147575,10.627627627627627,7258,6868,390,0,605.0
load_based,complex,read_heavy,542,4252.027144953532,9893.675900064409,12.360219656591914,1.499194695030201,0.0,0.00519020398441107,10.654654654654655,7493,7094,399,0,606.219000000041
load_based,medium,balanced,142,400.1603842405021,855.5104000261053,174.35535287789787,1.1387626898072922,0.0,0.0038879750325155863,10.697478991596638,104684,73256,31428,0,600.405999999959
load_based,medium,balanced,242,396.85958799387186,849.6880000457168,175.8461733181471,1.1382454511466729,0.0,0.003909604178141978,10.726890756302518,105590,74071,31519,0,600.4679999999935
load_based,medium,balanced,342,434.21207400245794,940.5006000306457,159.48895873845686,1.1469211452466272,0.0,0.0038500940236540922,10.683473389355742,95798,67210,28588,0,600.655999999959
load_based,medium,balanced,442,400.63819054389796,850.8131999988109,173.30162289643116,1.141634683504738,0.0,0.003843646335874328,10.676470588235295,104639,73276,31363,0,603.7970000000205
load_based,medium,balanced,542,389.8870103784041,846.1211000103503,178.2095776073804,1.1435404464485992,0.0,0.003679609482949739,10.700280112044817,107012,75003,32009,0,600.484000000055
load_based,medium,read_heavy,142,36.39830323300584,90.87930002715439,1406.5339957436493,1.6024903862707154,0.0,0.00339445409224729,10.61624649859944,843964,802081,41883,0,600.030999999959
load_based,medium,read_heavy,242,40.55590122316581,98.55049999896437,1267.8135175760917,1.601161003950372,0.0,0.0034014773892789736,10.61624649859944,760787,722498,38289,0,600.0779999999795
load_based,medium,read_heavy,342,40.7465788279845,99.23549997620285,1244.3773738357702,1.5957366849442887,0.0,0.003467427304706234,10.61624649859944,746665,709537,37128,0,600.030999999959
load_based,medium,read_heavy,442,37.8583110908245,94.19279999565333,1353.3189900124028,1.6095308685313514,0.0,0.003358473284642944,10.642857142857142,812055,771617,40438,0,600.0470000000205
load_based,medium,read_heavy,542,47.75794259900646,107.65250003896654,1079.7146370970047,1.6023524220208212,0.0,0.0034774630579643665,10.61484593837535,647913,615627,32286,0,600.0780000000959
load_based,simple,balanced,142,3.4664933868873957,7.715299958363175,1967.6234779770136,1.1073189810878195,0.0,0.0024953041603970696,10.665966386554622,1180944,826550,354394,0,600.1879999999655
load_based,simple,balanced,242,3.389924378622323,7.466700044460595,1880.4815663403458,1.1223026689877578,0.0,0.002473615641013958,10.672222222222222,1128524,789619,338905,0,600.125
load_based,simple,balanced,342,3.329728093433373,7.260000100359321,1774.042723364507,1.1077065797671892,0.0,0.0024983370960877656,10.665277777777778,1064674,745458,319216,0,600.140000000014
load_based,simple,balanced,442,3.378060641337871,7.332500070333481,1698.513680141261,1.1002776567028454,0.0,0.0024750555955577788,10.65344304388422,1019346,713349,305997,0,600.140000000014
load_based,simple,balanced,542,3.37680570195511,7.353799999691546,1454.077321881286,1.105101126128592,0.0,0.0025205849544350776,10.6625,872538,611394,261144,0,600.0629999999655
load_based,simple,read_heavy,142,14.413177708976423,36.30209993571043,3435.8025288017934,1.5777583086620997,0.0,0.002809441375542272,10.644257703081232,2061643,1958588,103055,0,600.0470000000205
